,circulo_compensacao,desvio_proporcionalidade,votos_perdidos
0,0.0,26.559674265251974,730225.0
1,1.0,25.69010904786067,641112.0
2,2.0,25.69010904786067,641112.0
3,3.0,24.82054383046937,576562.0
4,4.0,23.950978613078068,459801.0
5,5.0,23.950978613078068,369082.0
6,6.0,23.081413395686766,326720.0
7,7.0,23.081413395686766,217259.0
8,8.0,23.081413395686766,238691.0
9,9.0,22.21184817829545,131209.0
10,10.0,21.342282960904154,131209.0
11,11.0,20.472717743512852,131209.0
12,12.0,19.60315252612155,131209.0
13,13.0,18.733587308730243,131209.0
14,14.0,17.86402209133893,131209.0
15,15.0,16.994456873947634,131209.0
16,16.0,16.124891656556322,131209.0
17,17.0,15.255326439165023,131209.0
18,18.0,14.385761221773718,131209.0
19,19.0,14.385761221773718,131209.0
20,20.0,13.516196004382413,131209.0
21,21.0,12.646630786991105,131209.0
22,22.0,11.777065569599804,131209.0
23,23.0,10.907500352208501,131209.0
24,24.0,10.907500352208501,131209.0
25,25.0,10.907500352208501,131209.0
26,26.0,10.907500352208501,131209.0
27,27.0,10.346894548454582,131209.0
28,28.0,10.34689454845458,148111.0
29,29.0,10.346894548454582,148111.0
30,30.0,9.477329331063272,91619.0
31,31.0,8.607764113671973,91619.0
32,32.0,7.738198896280665,91619.0
33,33.0,6.868633678889366,91619.0
34,34.0,6.868633678889366,91619.0
35,35.0,6.868633678889366,91619.0
36,36.0,6.030771079116758,91619.0
37,37.0,5.72181166547937,91619.0
38,38.0,4.864028255790319,68387.0
39,39.0,4.864028255790314,68387.0
40,40.0,4.864028255790314,68387.0
41,41.0,4.864028255790314,68387.0
42,42.0,4.864028255790314,68387.0
43,43.0,4.864028255790314,68387.0
44,44.0,4.864028255790314,68387.0
45,45.0,4.864028255790314,68387.0
46,46.0,4.864028255790314,68387.0
47,47.0,4.864028255790314,68387.0
48,48.0,4.864028255790314,68387.0
49,49.0,4.864028255790314,68387.0
50,50.0,4.864028255790314,68387.0
51,51.0,4.864028255790314,68387.0
52,52.0,4.864028255790314,68387.0
53,53.0,4.9944314455856835,68387.0
54,54.0,4.9944314455856835,68387.0
55,55.0,4.9944314455856835,68387.0
56,56.0,4.9944314455856835,68387.0
57,57.0,4.9944314455856835,68387.0
58,58.0,4.9944314455856835,68387.0
59,59.0,4.9944314455856835,68387.0
60,60.0,4.9944314455856835,68387.0
61,61.0,4.9944314455856835,68387.0
62,62.0,4.9944314455856835,68387.0
63,63.0,4.9944314455856835,68387.0
64,64.0,4.9944314455856835,68387.0
65,65.0,4.9944314455856835,68387.0
66,66.0,4.9944314455856835,68387.0
67,67.0,4.9944314455856835,68387.0
68,68.0,4.9944314455856835,68387.0
69,69.0,4.9944314455856835,68387.0
70,70.0,4.9944314455856835,68387.0
71,71.0,4.9944314455856835,68387.0
72,72.0,4.9944314455856835,68387.0
73,73.0,4.648539904741249,68387.0
74,74.0,4.648539904741249,68387.0
75,75.0,4.648539904741249,68387.0
76,76.0,4.648539904741249,68387.0
77,77.0,4.648539904741249,68387.0
78,78.0,4.648539904741249,68387.0
79,79.0,4.648539904741249,68387.0
80,80.0,4.648539904741249,68387.0
81,81.0,4.648539904741249,68387.0
82,82.0,4.648539904741249,68387.0
83,83.0,4.648539904741249,68387.0
84,84.0,4.648539904741249,68387.0
85,85.0,4.648539904741249,68387.0
86,86.0,4.648539904741249,68387.0
87,87.0,4.648539904741249,68387.0
88,88.0,4.648539904741249,68387.0
89,89.0,4.648539904741249,68387.0
90,90.0,4.648539904741249,68387.0
91,91.0,4.648539904741249,68387.0
92,92.0,4.648539904741249,68387.0
93,93.0,4.648539904741249,68387.0
94,94.0,4.648539904741249,68387.0
95,95.0,4.648539904741249,68387.0
96,96.0,4.648539904741249,68387.0
97,97.0,4.648539904741249,68387.0
98,98.0,4.648539904741249,68387.0
99,99.0,4.648539904741249,68387.0
100,100.0,4.648539904741249,68387.0
101,101.0,4.648539904741249,68387.0
102,102.0,4.648539904741249,68387.0
103,103.0,4.648539904741249,68387.0
104,104.0,4.648539904741249,68387.0
105,105.0,4.648539904741249,68387.0
106,106.0,4.648539904741249,68387.0
107,107.0,4.648539904741249,68387.0
108,108.0,4.648539904741249,68387.0
109,109.0,4.648539904741249,68387.0
110,110.0,4.648539904741249,68387.0
111,111.0,4.648539904741249,68387.0
112,112.0,4.648539904741249,68387.0
113,113.0,4.648539904741249,68387.0
114,114.0,4.648539904741249,68387.0
115,115.0,4.648539904741249,68387.0
116,116.0,4.648539904741249,68387.0
117,117.0,4.648539904741249,68387.0
118,118.0,4.648539904741249,68387.0
119,119.0,4.648539904741249,68387.0
120,120.0,4.648539904741249,68387.0
121,121.0,4.648539904741249,68387.0
122,122.0,4.648539904741249,68387.0
123,123.0,4.648539904741249,68387.0
124,124.0,4.648539904741249,68387.0
125,125.0,4.648539904741249,68387.0
126,126.0,4.648539904741249,68387.0
127,127.0,4.648539904741249,68387.0
128,128.0,4.648539904741249,68387.0
129,129.0,4.648539904741249,68387.0
130,130.0,4.648539904741249,68387.0
131,131.0,4.648539904741249,68387.0
132,132.0,4.648539904741249,68387.0
133,133.0,4.648539904741249,68387.0
134,134.0,4.648539904741249,68387.0
135,135.0,4.648539904741249,68387.0
136,136.0,4.648539904741249,68387.0
137,137.0,4.648539904741249,68387.0
138,138.0,4.648539904741249,68387.0
139,139.0,4.648539904741249,68387.0
140,140.0,4.648539904741249,68387.0
141,141.0,4.648539904741249,68387.0
142,142.0,4.648539904741249,68387.0
143,143.0,4.648539904741249,68387.0
144,144.0,4.648539904741249,68387.0
145,145.0,4.648539904741249,68387.0
146,146.0,4.648539904741249,68387.0
147,147.0,4.648539904741249,68387.0
148,148.0,4.648539904741249,68387.0
149,149.0,4.648539904741249,68387.0
150,150.0,4.648539904741249,68387.0
151,151.0,4.648539904741249,68387.0
152,152.0,4.648539904741249,68387.0
153,153.0,4.648539904741249,68387.0
154,154.0,4.648539904741249,68387.0
155,155.0,4.648539904741249,68387.0
156,156.0,4.648539904741249,68387.0
157,157.0,4.648539904741249,68387.0
158,158.0,4.648539904741249,68387.0
159,159.0,4.648539904741249,68387.0
160,160.0,4.648539904741249,68387.0
161,161.0,4.648539904741249,68387.0
162,162.0,4.648539904741249,68387.0
163,163.0,4.648539904741249,68387.0
164,164.0,4.648539904741249,68387.0
165,165.0,4.648539904741249,68387.0
166,166.0,4.648539904741249,68387.0
167,167.0,4.648539904741249,68387.0
168,168.0,4.648539904741249,68387.0
169,169.0,4.648539904741249,68387.0
170,170.0,4.648539904741249,68387.0
171,171.0,4.648539904741249,68387.0
172,172.0,4.648539904741249,68387.0
173,173.0,4.648539904741249,68387.0
174,174.0,4.648539904741249,68387.0
175,175.0,4.648539904741249,68387.0
176,176.0,4.648539904741249,68387.0
177,177.0,4.648539904741249,68387.0
178,178.0,4.648539904741249,68387.0
179,179.0,4.648539904741249,68387.0
180,180.0,4.648539904741249,68387.0
181,181.0,4.648539904741249,68387.0
182,182.0,4.648539904741249,68387.0
183,183.0,4.648539904741249,68387.0
184,184.0,4.648539904741249,68387.0
185,185.0,4.648539904741249,68387.0
186,186.0,4.648539904741249,68387.0
187,187.0,4.648539904741249,68387.0
188,188.0,4.648539904741249,68387.0
189,189.0,4.8012905150540455,68387.0
190,190.0,4.984153628951636,68387.0
191,191.0,5.1654471023865955,68387.0
192,192.0,5.3482736139427836,68387.0
193,193.0,4.793042029614798,68387.0
194,194.0,4.40601517762374,68387.0
195,195.0,4.133404172178405,68387.0
196,196.0,4.214858279796959,68387.0
197,197.0,3.5839634164872445,68387.0
